ID,Area,Feature,User Story,Expected Behavior,Source Evidence,Test Method,Feature Status,Latest Test Result,Issue ID,Fix Status,Retest Result,Notes
START-001,Start,Cold start without saved data,"As a planner, I want the app to open to a clear start screen when no saved roadmap exists, so I can begin intentionally.","When local storage has no valid roadmap, the start screen is visible, Resume is hidden, Start from a blank outline is primary, and privacy text is visible.",index.html:154-176; index.html:750-767,Browser,Passed,"No saved data shows the start screen, hides Resume, and shows the local-only privacy note.",,,,
START-002,Start,Automatic restore on launch,"As a returning planner, I want the app to reopen my last saved work automatically, so I do not lose progress.","When valid autosave exists, init deserializes it, enters the studio, and shows a restore toast with Start fresh.",index.html:742-767,Browser,Passed,Saved state auto-restores into studio and shows restore toast.,,,,
START-003,Start,Resume last session from start screen,"As a returning planner on the start screen, I want to resume the last session, so I can continue where I left off.","When autosave exists and the user is on the start screen, Resume last session appears with relative save time and loads the saved roadmap.",index.html:750-753,Browser,Passed,Resume last session reloads saved roadmap data.,,,,
START-004,Start,Start blank outline,"As a planner, I want to start from a blank outline, so I can build a new roadmap from scratch.","Clicking Start from a blank outline creates one pillar, one workstream, no initiatives, file name Untitled roadmap, and opens the Structure tab.",index.html:326-329,Browser,Passed,"Blank start creates one pillar/workstream and opens Structure with tabs ordered Structure, Initiatives, Roadmap.",,,,
START-005,Start,Return to start screen from brand,"As a planner, I want the Roadmap Studio brand control to return me to the start screen without deleting my session, so I can choose a different starting action.",Clicking Roadmap Studio in the toolbar renders the start screen while keeping autosaved session data available.,index.html:183; index.html:754,Browser,Passed,Brand returns to start screen while leaving the saved session resumable.,,,,
PROJECT-001,Project files,Download project JSON,"As a planner, I want to save a project file, so I can reopen it later on another machine.",Clicking Save downloads a JSON project file using the current file name or roadmap fallback and serialized state.,index.html:727-729; index.html:755,Browser download,Passed,Save downloads a JSON project file with serialized roadmap state.,,,,
PROJECT-002,Project files,Open valid project JSON,"As a planner, I want to open a Roadmap Studio project file, so I can continue a saved roadmap.","Selecting a valid project JSON deserializes structure, items, dates, value type, value, sequence, file name, and fiscal year, then enters the studio.",index.html:730-741; index.html:756-760,Browser upload,Passed,Opening a valid project JSON restores the roadmap.,,,,
PROJECT-003,Project files,Reject invalid project JSON,"As a planner, I want invalid project files rejected, so bad data does not corrupt my roadmap.",Selecting an invalid or wrong-shaped JSON shows the invalid Roadmap Studio project file error on the start screen.,index.html:756-760,Browser upload,Passed,Invalid project JSON is rejected with a visible error.,,,,
NAV-001,Navigation,Tab order and switching,"As a planner, I want to switch between Structure, Initiatives, and Roadmap in the expected order, so the workflow matches how data is entered.","Toolbar tabs appear as Structure, Initiatives, Roadmap. Clicking each tab marks it active and displays only that stage.",index.html:185-189; index.html:387-398,Browser,Passed,"Blank start creates one pillar/workstream and opens Structure with tabs ordered Structure, Initiatives, Roadmap.",,,,
FY-001,Fiscal year,Fiscal year selector,"As a planner, I want to set the fiscal year start month, so roadmap quarters and imported quarter labels match my organization.","The fiscal year selector lists all months, defaults to July, updates S.fyStart, rerenders the roadmap, and affects fiscal year/quarter calculations.",index.html:193; index.html:255-299; index.html:380-383,Browser,Passed,Fiscal year selector updates the selected month and rerenders quarter/FY labels.,,,,
UNDO-001,Undo redo,Toolbar undo and redo,"As an editor, I want undo and redo controls, so I can recover from changes safely.","Undo is disabled with no history, becomes enabled after tracked edits, restores the previous snapshot, and redo reapplies it.",index.html:404-429,Browser,Passed,Toolbar undo and redo restore and reapply a pillar rename.,,,,
UNDO-002,Undo redo,Keyboard shortcuts,"As an editor, I want keyboard shortcuts for undo and redo, so editing feels standard.",Cmd/Ctrl+Z runs undo and Shift+Cmd/Ctrl+Z runs redo.,index.html:430-432,Browser keyboard,Passed,Keyboard undo and redo work on editable structure changes.,,,,
